title,community,area,size,price
首钢园对面 电梯洋房320起 精装修 得房率95,长安华曦府,门头沟-永定-长安街 新首钢 S1号线上岸站北350米,96㎡,480万
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,百环家园,朝阳-双井-广渠路66号,103.57㎡,435万
双井百环家园3室1厅 满五年   业主诚意出售,百环家园,朝阳-双井-广渠路66号,139.62㎡,598万
165萬，两层别墅，精装修现房，万科开发，隐居生活,万科七橡墅(新房),房山-房山周边-云峰寺路万科七橡墅营销中心,180㎡,195万
三环近地铁09年次新板楼 前后观园景不临街,首城国际,朝阳-双井-广渠路36号,86.18㎡,650万
百环家园新上观  三居室，三室两卫 地铁10号7号双线有钥匙,百环家园,朝阳-双井-广渠路66号,139.64㎡,638万
双井百环家园2室1厅 满五年   诚意出售,百环家园,朝阳-双井-广渠路66号,95.78㎡,419万
芍药居北里三区满五  客厅有南窗2室1厅,芍药居北里小区,朝阳-芍药居-北四环东路,61.49㎡,412万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,109.49㎡,430万
首城2居，2013年板楼，价格可大谈，高层无遮挡，我有钥匙,首城国际,朝阳-双井-广渠路36号,88㎡,650万
新上双井百环家园3室1厅必看好房,百环家园,朝阳-双井-广渠路66号,125.51㎡,575万
双井首城国际B区全南两居 位置好 满五年   精装修,首城国际,朝阳-双井-广渠路36号,89.98㎡,599万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,100.15㎡,418万
此楼已经改造 出价就谈 芍药居北里一区  有电梯 有钥匙,芍药居北里小区,朝阳-芍药居-北四环东路,67㎡,399万
新上 双井百环家园2室1厅 满五年   观,百环家园,朝阳-双井-广渠路66号,95.78㎡,428万
石景山必看楼盘 360 四叶草户型得房率91,中交·伴山观岚,石景山-五里坨-黑石头路,95㎡,428万
林肯公园高层南北两居,林肯公园C区,大兴-亦庄-文化园西路8号,93.37㎡,490万
区域聚集 单价6 买三环南向两居 苹果社区必看好房,苹果社区(南区),朝阳-双井-百子湾路32号,96㎡,599万
林肯公园空中别墅挑空,林肯公园C区,大兴-亦庄-文化园西路8号,155㎡,680万
优选好房  一梯两户 南北向二居 采光无影响  可看,润泽悦溪,朝阳-北苑-水岸南街,87.44㎡,550万
金域东郡 精装可拎包入住   清晰 看房也方便。,金域东郡,大兴-亦庄-四合路3号,74.88㎡,398万
新上！金域东郡 满五V1 两居室，两个车位 精装修 电梯,金域东郡,大兴-亦庄-四合路3号,74㎡,375万
