title,company,location,salary,experience,time_tag
,,,,,
Senior Backend Python Developer,Kanmalai Technologies,"Bengaluru, Karnataka, India",20055,2,2026/1/8
,,,,,
Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE,"ActivePrime, Inc.","Mountain View, California, United States",24758,2,2025/12/23
,,,,,
DevOps Engineer-FULLY REMOTE,"ActivePrime, Inc.","Mountain View, California, United States",19226,2,2025/12/23
,,,,,
Lead Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",15242,5,2025/12/23
,,,,,
Senior Python Developer,Cial Dun & Bradstreet,"S?o Paulo, S?o  Paulo, Brazil",21243,3,2025/12/22
,,,,,
"Developer, Senior",Illumen Group Inc.,"Bethesda, Maryland, United States",17354,4,2025/12/19
,,,,,
Senior Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",22939,2,2025/12/19
,,,,,
Founding Full-Stack Senior Engineer (UK ONLY) - Fully Remote,MyDataValue,"London, ---, United Kingdom",22682,5,2025/12/11
,,,,,
AI Engineer,Adaptify,"Remote, Remote, United Kingdom",19536,2,2025/12/10
,,,,,
Senior Python/DevOps Enginner,ActivePrime,"Waterloo, toronto, qebec, bogota, medellin, montevideo, buenos aires, Canada, or Latam Countries",15283,4,2025/12/9
,,,,,
"Director, Ratings AI",Fitch Ratings,"Toronto, Ontario, Canada",17514,2,2025/12/5
,,,,,
Python / Django Developer,Client of Foxley Talent,"Remote, United States",23139,2,2025/12/1
,,,,,
Staff Software Engineer,Bluebird Kids Health,"Boston, MA, United States of America",22600,5,2025/11/24
,,,,,
Experienced Software Engineer ¡ª Systems,Hudson River Trading,"New York, Austin, Chicago, Seattle, Boulder, London, Dublin, Singapore, United States, England, Ireland, Singapore",23575,1,2025/11/14
,,,,,
"Privacy Engineer, Data Privacy Lab",Center for Effective Global Action,"Berkeley, CA, United States",23077,2,2025/11/11
,,,,,
Senior Ground Software Engineer,E-Space,"Saratoga, California, United States",16252,3,2025/11/6
,,,,,
Backend Engineering Specialist (Full Time),Mercor,"Remote or in-person (Palo Alto, CA); in-office requires 5 days/week., California, USA",15318,2,2025/11/5
,,,,,
Senior Back-End Developer,Showcare,"Remote, Canada",24203,2,2025/11/3
,,,,,
Senior Software Engineer,Known,"New York, NY, United States",20948,1,2025/11/2
,,,,,
Lead Python Developer,United Wholesale Mortgage,"Pontiac, USA",21554,3,2025/10/28
,,,,,
AI Automation & Integration Engineer,Hoodie Analytics,"Chicago Or Remote, Illinois, USA",16534,4,2025/10/27
,,,,,
Python developer (3-5 years experience) needed on strong team,Naia Corporation,"Dover, North Carolina, USA",18596,2,2025/10/27
,,,,,
Tech Leader,Domainsbot Inc.,"Remote, Remote, Remote",17497,4,2025/10/22
,,,,,
Python Software Engineer,HypothesisBase,"Remote, Remote, USA",20007,1,2025/10/21
,,,,,
Senior Python Engineer (Supply Chain),Picnic Technologies,"Amsterdam, Netherlands",15937,1,2025/10/21
,,,,,
Python Platform Engineer,Picnic Technologies,"Amsterdam, Netherlands",23620,1,2025/10/21
,,,,,
Senior Software Engineer (Back-End),Simons Foundation,"New York, New York, United States",16068,2,2025/10/17
,,,,,
Senior Software Language Engineer ¨C Python,680 Partners,"Westport, CT, USA",23143,1,2025/10/16
,,,,,
"Software Engineer (Enterprise Product, Observability; Remote)",Dagster Labs,"Remote, USA",21381,1,2025/10/14
,,,,,
Software Engineer - Platform (Experienced),Dagster Labs,"Remote, Remote, USA",17789,2,2025/10/14
,,,,,
Senior/Expert Python Software Engineer,Upstaff.com,"Kyiv, Kyiv Oblast, Ukraine",18185,1,2025/10/14
,,,,,
Founding Backend Engineer (On-site San Francisco) ¡ª Python ? AWS ? LLM/RAG,Purrfect Hire,"San Francisco, California, United States",20974,1,2025/10/13
