title,company,location,time_tag
Senior Backend Python Developer,Kanmalai Technologies,"Bengaluru, Karnataka, India",08 January 2026
Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE,"ActivePrime, Inc.","Mountain View, California, United States",23 December 2025
DevOps Engineer-FULLY REMOTE,"ActivePrime, Inc.","Mountain View, California, United States",23 December 2025
Lead Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",23 December 2025
Senior Python Developer,Cial Dun & Bradstreet,"São Paulo, São  Paulo, Brazil",22 December 2025
"Developer, Senior",Illumen Group Inc.,"Bethesda, Maryland, United States",19 December 2025
Senior Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",19 December 2025
Founding Full-Stack Senior Engineer (UK ONLY) - Fully Remote,MyDataValue,"London, ---, United Kingdom",11 December 2025
AI Engineer,Adaptify,"Remote, Remote, United Kingdom",10 December 2025
Senior Python/DevOps Enginner,ActivePrime,"Waterloo, toronto, qebec, bogota, medellin, montevideo, buenos aires, Canada, or Latam Countries",09 December 2025
"Director, Ratings AI",Fitch Ratings,"Toronto, Ontario, Canada",05 December 2025
Python / Django Developer,Client of Foxley Talent,"Remote, United States",01 December 2025
Staff Software Engineer,Bluebird Kids Health,"Boston, MA, United States of America",24 November 2025
Experienced Software Engineer — Systems,Hudson River Trading,"New York, Austin, Chicago, Seattle, Boulder, London, Dublin, Singapore, United States, England, Ireland, Singapore",14 November 2025
"Privacy Engineer, Data Privacy Lab",Center for Effective Global Action,"Berkeley, CA, United States",11 November 2025
Senior Ground Software Engineer,E-Space,"Saratoga, California, United States",06 November 2025
Backend Engineering Specialist (Full Time),Mercor,"Remote or in-person (Palo Alto, CA); in-office requires 5 days/week., California, USA",05 November 2025
Senior Back-End Developer,Showcare,"Remote, Canada",03 November 2025
Senior Software Engineer,Known,"New York, NY, United States",02 November 2025
Lead Python Developer,United Wholesale Mortgage,"Pontiac, USA",28 October 2025
AI Automation & Integration Engineer,Hoodie Analytics,"Chicago Or Remote, Illinois, USA",27 October 2025
Python developer (3-5 years experience) needed on strong team,Naia Corporation,"Dover, North Carolina, USA",27 October 2025
Tech Leader,Domainsbot Inc.,"Remote, Remote, Remote",22 October 2025
Python Software Engineer,HypothesisBase,"Remote, Remote, USA",21 October 2025
Senior Python Engineer (Supply Chain),Picnic Technologies,"Amsterdam, Netherlands",21 October 2025
Python Platform Engineer,Picnic Technologies,"Amsterdam, Netherlands",21 October 2025
Senior Software Engineer (Back-End),Simons Foundation,"New York, New York, United States",17 October 2025
Senior Software Language Engineer – Python,680 Partners,"Westport, CT, USA",16 October 2025
"Software Engineer (Enterprise Product, Observability; Remote)",Dagster Labs,"Remote, USA",14 October 2025
Software Engineer - Platform (Experienced),Dagster Labs,"Remote, Remote, USA",14 October 2025
Senior/Expert Python Software Engineer,Upstaff.com,"Kyiv, Kyiv Oblast, Ukraine",14 October 2025
Founding Backend Engineer (On-site San Francisco) — Python • AWS • LLM/RAG,Purrfect Hire,"San Francisco, California, United States",13 October 2025
